order_id,customer_id,product,region,quantity,amount,order_date,status
ORD-1001,CUST-119,Headset,North,1,741.83,2026-08-15,completed
ORD-1002,CUST-174,Notebook,South,1,91.06,2026-08-15,returned
ORD-1003,CUST-130,Cable,West,1,746.76,2026-08-11,completed
ORD-1004,CUST-180,Notebook,West,1,878.99,2026-08-13,completed
ORD-1005,CUST-117,Mouse,West,2,493.51,2026-08-18,pending
ORD-1006,CUST-171,Monitor,North,5,520.52,2026-08-14,completed
ORD-1007,CUST-112,Cable,North,5,197.27,2026-08-15,pending
ORD-1008,CUST-140,Webcam,West,3,not_available,2026-08-16,completed
ORD-1009,CUST-110,Mouse,West,3,660.56,2026-08-13,completed
ORD-1010,CUST-109,Cable,West,2,685.07,2026-08-19,completed
ORD-1011,CUST-153,Notebook,North,5,522.13,2026-08-17,completed
ORD-1012,CUST-144,Webcam,West,1,758.37,2026-08-15,completed
ORD-1013,CUST-108,Notebook,East,5,893.89,2026-08-17,returned
ORD-1014,CUST-149,Dock,North,4,329.59,2026-08-14,pending
ORD-1015,CUST-163,Notebook,South,3,129.47,2026-08-11,completed
ORD-1016,CUST-150,Webcam,North,2,412.53,2026-08-16,pending
ORD-1017,CUST-117,Headset,East,4,888.02,2026-08-14,returned
ORD-1018,CUST-119,Cable,South,2,220.28,2026-08-13,completed
ORD-1019,CUST-162,Monitor,East,3,18.62,2026-08-10,returned
ORD-1020,CUST-147,Dock,South,5,855.95,2026-08-18,completed
ORD-1021,CUST-171,Headset,West,4,363.8,2026-08-17,returned
ORD-1022,CUST-107,Keyboard,North,2,404.95,2026-08-16,completed
ORD-1023,CUST-176,Notebook,North,1,516.6,08/13/2026,pending
ORD-1024,CUST-146,Notebook,North,2,558.45,2026-08-11,completed
ORD-1025,CUST-144,Dock,West,1,117.09,2026-08-14,returned
ORD-1026,CUST-161,Webcam,East,1,142.54,2026-08-17,completed
ORD-1027,CUST-161,Monitor,North,2,856.62,2026-08-14,pending
ORD-1028,CUST-118,Notebook,East,1,631.13,2026-08-15,completed
ORD-1029,CUST-146,Monitor,East,2,486.34,2026-08-18,pending
ORD-1030,CUST-128,Keyboard,South,4,669.79,2026-08-15,completed
ORD-1031,CUST-166,Webcam,East,1,890.8,2026-08-13,completed
ORD-1032,CUST-133,Keyboard,East,4,730.58,2026-08-17,completed
ORD-1033,CUST-110,Keyboard,North,2,431.02,2026-08-15,completed
ORD-1034,CUST-161,Notebook,West,3,722.68,2026-08-13,completed
ORD-1035,CUST-149,Keyboard,West,2,399.02,2026-08-11,completed
ORD-1036,CUST-150,Webcam,West,1,656.45,2026-08-11,completed
ORD-1037,CUST-103,Monitor,West,2,556.24,2026-08-12,pending
ORD-1038,CUST-144,Monitor,South,1,27.61,2026-08-17,completed
ORD-1039,CUST-117,Headset,South,2,39.77,2026-08-18,completed
ORD-1040,CUST-164,Keyboard,East,3,496.75,2026-08-14,completed
ORD-1041,CUST-145,Webcam,West,5,130.73,2026-08-10,completed
ORD-1042,CUST-165,Notebook,West,2,,2026-08-18,completed
ORD-1043,CUST-118,Webcam,North,5,69.65,2026-08-12,pending
ORD-1044,CUST-171,Webcam,North,5,65.29,2026-08-18,completed
ORD-1045,CUST-105,Cable,West,5,39.66,2026-08-14,completed
ORD-1046,CUST-141,Keyboard,East,4,464.72,2026-08-17,returned
ORD-1047,CUST-131,Mouse,South,4,136.36,2026-08-18,completed
ORD-1048,CUST-156,Dock,North,2,394.08,2026-08-16,completed
